id,dam_height,crest_length,penstock_diam,penstock_len,turbines,turbine_type,Q_m3s,gross_head_m,power_mw,annual_gwh,cost_musd,env_score
1,22.34,127.21,3.59,174.87,1,Francis,72.65,21.22,13.309,52.463,154.071,0.003
2,18.76,266.71,2.5,274.38,2,Francis,123.48,17.82,18.996,74.881,267.27,0.063
3,15.4,183.73,1.13,149.74,3,Francis,88.86,14.63,11.223,44.24,151.573,-0.017
4,49.96,298.74,1.72,279.99,2,Francis,241.9,47.46,99.109,390.69,835.451,0.195
5,14.2,115.0,2.88,147.54,3,Francis,50.72,13.49,5.907,23.284,86.966,0.006
6,12.37,114.51,3.45,100.24,2,Kaplan,76.81,11.75,7.791,30.713,77.837,-0.003
7,25.62,275.67,1.02,171.03,2,Kaplan,61.13,24.34,12.845,50.634,364.694,0.038
8,15.99,114.4,3.88,299.1,2,Francis,113.11,15.19,14.832,58.469,104.812,0.061
9,32.88,127.77,3.83,96.91,1,Kaplan,96.21,31.24,25.947,102.282,233.406,-0.007
10,31.98,85.02,3.02,101.77,2,Kaplan,24.72,30.38,6.483,25.557,141.782,-0.008
11,12.72,181.42,2.21,124.87,1,Kaplan,68.49,12.08,7.142,28.155,121.811,-0.015
12,18.12,97.1,1.22,79.34,1,Kaplan,79.87,17.21,11.866,46.777,98.652,-0.0
13,18.46,266.0,2.97,94.14,1,Kaplan,104.65,17.54,15.846,62.465,259.779,0.047
14,28.09,123.64,3.01,296.1,2,Kaplan,57.25,26.69,13.191,51.999,185.524,-0.013
15,34.15,110.89,3.86,306.24,2,Kaplan,67.78,32.44,18.982,74.826,206.428,0.035
16,34.01,168.85,2.92,319.28,1,Francis,80.56,32.31,22.47,88.578,307.353,0.077
17,29.37,284.66,2.14,119.24,1,Francis,144.41,27.9,34.782,137.11,449.327,0.038
18,27.53,254.88,2.8,272.69,1,Kaplan,150.11,26.15,33.887,133.583,381.341,0.036
19,35.82,70.72,3.38,158.8,1,Kaplan,79.72,34.03,23.42,92.32,147.737,0.008
20,25.86,194.38,3.87,386.11,1,Kaplan,125.81,24.57,26.685,105.193,275.35,0.01
21,34.94,209.7,2.95,324.22,1,Francis,79.06,33.19,22.652,89.296,386.733,0.043
22,27.89,174.94,3.86,127.69,2,Kaplan,88.75,26.5,20.303,80.035,262.227,0.014
23,24.77,123.13,3.43,60.93,1,Francis,146.63,23.53,29.785,117.412,179.303,0.032
24,47.67,259.08,1.51,185.04,2,Francis,152.8,45.29,59.742,235.502,671.285,0.121
25,25.82,292.61,1.79,354.12,2,Francis,136.25,24.53,28.853,113.737,403.727,0.104
26,43.73,83.87,1.58,333.68,3,Francis,198.99,41.54,71.359,281.298,247.605,0.031
27,29.71,235.93,2.57,316.87,1,Kaplan,103.15,28.22,25.129,99.059,373.09,0.11
28,40.68,92.84,2.14,204.03,3,Francis,189.76,38.65,63.315,249.587,245.82,-0.003
29,15.33,178.54,2.04,209.85,2,Kaplan,156.33,14.56,19.65,77.459,154.536,-0.004
30,46.34,74.52,3.36,390.47,2,Kaplan,127.09,44.02,48.296,190.384,216.129,0.039
31,42.3,252.2,3.33,59.75,1,Kaplan,121.17,40.18,42.03,165.681,571.23,0.147
32,36.8,248.98,3.31,129.34,3,Kaplan,109.36,34.96,33.005,130.106,487.828,0.049
33,13.24,198.1,3.05,290.43,1,Kaplan,103.34,12.58,11.223,44.24,141.243,0.054
34,23.43,59.93,2.56,292.04,3,Francis,205.55,22.26,39.5,155.708,105.758,0.024
35,25.44,212.13,3.19,191.61,3,Kaplan,89.5,24.17,18.675,73.615,286.637,0.039
36,44.17,196.56,2.11,285.0,3,Francis,134.72,41.96,48.8,192.369,478.023,0.102
37,17.32,93.62,3.48,204.99,3,Kaplan,41.81,16.45,5.937,23.405,86.419,0.05
38,21.7,57.0,3.1,390.89,1,Francis,110.5,20.61,19.66,77.501,79.539,0.024
39,26.95,58.52,2.82,69.93,1,Kaplan,23.47,25.6,5.187,20.447,83.524,0.038
40,15.99,230.41,2.75,380.15,3,Kaplan,168.43,15.19,22.087,87.065,204.091,0.034
41,39.89,241.31,2.82,321.55,3,Kaplan,214.94,37.9,70.325,277.22,544.585,0.085
42,12.82,143.49,2.52,184.99,2,Kaplan,58.83,12.18,6.186,24.385,97.544,-0.014
43,37.49,248.47,1.89,394.85,2,Kaplan,85.31,35.62,26.233,103.41,489.367,0.063
44,45.93,177.89,3.89,106.67,1,Francis,173.9,43.63,65.499,258.198,467.474,0.041
45,12.65,288.41,3.99,192.52,2,Francis,93.46,12.02,9.698,38.229,191.148,-0.012
46,41.21,67.38,3.92,248.53,1,Francis,190.45,39.15,64.367,253.735,196.767,-0.01
47,25.92,66.41,3.49,341.64,3,Kaplan,167.15,24.62,35.526,140.043,118.041,0.03
